Commodity,Amount (in millions)
Food and beverage services,"200,188"
Traveler accommodations,"242,851"
Shopping,"137,586"
Air Transportation,"306,761"
Entertainment,"142,558"
In-country transportation,"201,992"
Miscellaneous,"124,775"
