Commodity,Amount (in millions)
Food and beverage services,"171,407"
Traveler accommodations,"196,860"
Shopping,"121,778"
Air Transportation,"177,692"
Entertainment,"126,647"
In-country transportation,"109,316"
Miscellaneous,"95,726"
