Commodity,Amount (in millions)
Food and beverage services,"167,739"
Traveler accommodations,"236,794"
Shopping,"149,524"
Air Transportation,"292,887"
Entertainment,"131,708"
In-country transportation,"147,019"
Miscellaneous,"135,829"
