Commodity,Amount (in millions)
Food and beverage services,"151,011"
Traveler accommodations,"229,901"
Shopping,"126,687"
Air Transportation,"270,637"
Entertainment,"121,633"
In-country transportation,"171,669"
Miscellaneous,"127,340"
