Commodity,Amount (in millions)
Food and beverage services,"78,740"
Traveler accommodations,"151,067"
Shopping,"54,025"
Air Transportation,"113,389"
Entertainment,"85,336"
In-country transportation,"51,538"
Miscellaneous,"74,684"
